Timestamp,1.1 What gender do you identify as?,1.2 What is your age?,1.3 What is your level of education?,1.4 How familiar are you with video games?,1.5 How familiar are you with stealth games?,"1.6 On average, how many hours do you play video games per week?",1.7 What game genres do you play most often?,1.8 Have you studied anything related to game development or design in the past?,1.9 Have you studied anything related to AI development in the past?,2.1 The AI agents appeared to be aware of their environment.,2.3 I was able to predict how the AI agents would react to my actions.,2.4 The AI behavior followed understandable patterns.,2.6 The AI behavior felt natural rather than scripted.,2.7 The AI agents reacted directly to my actions.,2.9 Sometimes the AI had access to information it should not have had.,3.1 The AI agents appeared to be aware of their environment.,3.3 I was able to predict how the AI agents would react to my actions.,3.4 The AI behavior followed understandable patterns.,3.6 The AI behavior felt natural rather than scripted.,3.7 The AI agents reacted directly to my actions.,3.9 Sometimes the AI had access to information it should not have had.,4.1 The AI agents appeared to be aware of their environment.,4.3 I was able to predict how the AI agents would react to my actions.,4.4 The AI behavior followed understandable patterns.,4.6 The AI behavior felt natural rather than scripted.,4.7 The AI agents reacted directly to my actions.,4.9 Sometimes the AI had access to information it should not have had.,5.1 The AI agents appeared to be aware of their environment.,5.3 I was able to predict how the AI agents would react to my actions.,5.4 The AI behavior followed understandable patterns.,5.6 The AI behavior felt natural rather than scripted.,5.7 The AI agents reacted directly to my actions.,5.9 Sometimes the AI had access to information it should not have had.,"6.1 Across all runs, I noticed meaningful differences in AI behavior.",6.2 The final AI system felt satisfying to play with.,6.3  Which level had the most believable AI behavior?,Session ID
6/3/2026 14:05:29,Male,35–44,Secondary education,4,3,0–2 hours,"Puzzle, Simulation, Other",Yes,Yes,2,4,4,1,3,1,2,4,4,1,2,1,4,5,5,1,4,2,4,5,3,1,3,4,5,1,None,
6/8/2026 11:07:53,Male,25–34,Master's degree,5,3,6–10 hours,"Action, RPG",Yes,No,4,4,4,2,3,2,3,4,3,3,3,2,3,4,3,2,4,3,4,4,4,2,4,3,4,3,None,ebe7ad0c-006f-4f87-b1f2-c382f4f25aa1
6/9/2026 1:38:30,Male,18–24,Bachelor's degree,5,4,11–20 hours,"Shooter, Action, RPG, Other",Yes,Yes,3,2,4,1,3,1,3,4,5,3,4,1,4,5,4,3,5,1,4,4,4,3,5,1,5,4,Level 3,8835fb9c-7874-4632-beb1-93c299cd6363
6/9/2026 10:44:14,Male,25–34,Bachelor's degree,5,4,21–40 hours,"Puzzle, Stealth, Action, Shooter, RPG",Yes,Yes,2,4,4,4,4,1,2,4,4,4,3,1,5,4,4,4,4,1,5,4,4,5,5,1,5,4,Level 4,1fd844f6-7cad-4eea-8ba7-2a6f104921ee
6/9/2026 11:50:50,Female,18–24,Bachelor's degree,3,2,0–2 hours,"Puzzle, Strategy",No,No,3,2,4,2,4,3,4,4,4,4,4,4,5,5,5,5,5,5,3,5,3,3,4,2,5,5,Level 3,0e1852bb-0372-4d24-9878-bfb8c5e50660
6/9/2026 15:49:38,Male,25–34,Bachelor's degree,3,3,6–10 hours,"RPG, Simulation, Strategy",No,No,4,5,3,2,2,1,5,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,1,5,5,Level 4,9ca17238-915d-489d-a442-db5edd6d9e39
6/9/2026 16:17:22,Male,18–24,Bachelor's degree,5,5,6–10 hours,"Stealth, Action, Simulation, Shooter",No,Yes,2,4,4,1,2,3,4,3,4,2,4,4,4,5,5,4,4,2,5,5,1,2,5,4,4,1,Level 3,1f1dacbf-dc3e-4a2a-8e6c-8edc38d11e24
6/9/2026 17:59:24,Female,18–24,Bachelor's degree,2,1,0–2 hours,Action,Yes,No,4,4,4,3,4,1,4,1,1,4,2,4,4,3,2,5,4,2,4,2,2,4,5,2,4,2,Level 1,e55d528e-74f2-41cc-a968-9f8b0685ba1e
6/9/2026 19:44:06,Male,18–24,Bachelor's degree,5,4,6–10 hours,"Action, RPG, Strategy, Other, Puzzle, Simulation",Yes,No,2,5,4,1,3,2,2,5,4,2,3,2,4,5,5,2,4,2,4,5,5,3,4,2,5,3,Level 4,8a0548aa-52b4-4e4b-b805-691e70b36370
6/10/2026 17:05:38,Male,25–34,Bachelor's degree,5,4,21–40 hours,"Action, RPG, Strategy, Other",Yes,Yes,4,4,5,3,3,2,4,3,3,4,3,3,4,2,3,4,5,2,4,3,5,4,5,2,4,4,Level 4,c2cd8078-9010-4698-b353-18e4e439ee13
